country_id,year,country,ISO3,hs_eci_rank,GDP_2021,gini_2021,group_type,group_name,group_id
4,2021,Afghanistan,AFG,128,2138.87024713086,,continent,Asia,931
8,2021,Albania,ALB,79,16261.804554188,,continent,Europe,933
12,2021,Algeria,DZA,114,14690.9162300571,,continent,Africa,932
24,2021,Angola,AGO,137,7414.27895783202,,continent,Africa,932
31,2021,Azerbaijan,AZE,110,20111.3756952109,,continent,Asia,931
32,2021,Argentina,ARG,82,26086.8023552274,0.424,continent,South America,934
36,2021,Australia,AUS,97,57406.1787604549,,continent,Oceania,936
40,2021,Austria,AUT,9,63421.2035870778,0.307,continent,Europe,933
48,2021,Bahrain,BHR,39,54351.8360757233,,continent,Asia,931
50,2021,Bangladesh,BGD,104,7366.48997079065,,continent,Asia,931
51,2021,Armenia,ARM,74,16899.0709181676,0.27899999999999997,continent,Asia,931
56,2021,Belgium,BEL,23,62123.1613172906,0.266,continent,Europe,933
68,2021,Bolivia,BOL,123,9342.97184427306,0.409,continent,South America,934
70,2021,Bosnia and Herzegovina,BIH,43,18396.4690929752,,continent,Europe,933
72,2021,Botswana,BWA,122,16663.8685441919,,continent,Africa,932
76,2021,Brazil,BRA,68,17672.9168034655,0.529,continent,South America,934
100,2021,Bulgaria,BGR,38,29404.9605099327,0.39,continent,Europe,933
104,2021,Myanmar,MMR,109,5138.88724952007,,continent,Asia,931
112,2021,Belarus,BLR,33,27611.1801135156,,continent,Europe,933
116,2021,Cambodia,KHM,78,4668.23777959985,,continent,Asia,931
120,2021,Cameroon,CMR,129,4741.76177028658,0.42200000000000004,continent,Africa,932
124,2021,Canada,CAN,41,55781.6990272912,,continent,North America,930
144,2021,Sri Lanka,LKA,86,14316.1364925465,,continent,Asia,931
148,2021,Chad,TCD,143,1764.34807562549,,continent,Africa,932
152,2021,Chile,CHL,87,29050.0807938778,,continent,South America,934
156,2021,China,CHN,17,20406.7296584605,0.35700000000000004,continent,Asia,931
170,2021,Colombia,COL,58,17587.2317932888,0.551,continent,South America,934
178,2021,Republic of the Congo,COG,135,6323.71757921482,,continent,Africa,932
180,2021,Democratic Republic of the Congo,COD,145,1358.2047169909,,continent,Africa,932
188,2021,Costa Rica,CRI,54,23700.2961313917,0.48700000000000004,continent,North America,930
191,2021,Croatia,HRV,34,37232.5957719881,0.289,continent,Europe,933
192,2021,Cuba,CUB,103,,,continent,North America,930
196,2021,Cyprus,CYP,48,48466.84375,0.313,continent,Asia,931
203,2021,Czechia,CZE,7,48418.1157871868,0.262,continent,Europe,933
204,2021,Benin,BEN,108,3575.31148668734,0.344,continent,Africa,932
208,2021,Denmark,DNK,27,69878.9348117258,0.28300000000000003,continent,Europe,933
214,2021,Dominican Republic,DOM,62,21923.3019358073,0.385,continent,North America,930
218,2021,Ecuador,ECU,115,13452.0087723253,0.45799999999999996,continent,South America,934
222,2021,El Salvador,SLV,63,10709.7595787161,0.39,continent,North America,930
226,2021,Equatorial Guinea,GNQ,141,18100.9139254871,,continent,Africa,932
231,2021,Ethiopia,ETH,120,2628.34346412648,,continent,Africa,932
233,2021,Estonia,EST,29,44651.9992190266,0.318,continent,Europe,933
246,2021,Finland,FIN,13,57788.9034581748,0.27699999999999997,continent,Europe,933
250,2021,France,FRA,18,53834.7992971017,0.315,continent,Europe,933
266,2021,Gabon,GAB,83,19552.3625334643,,continent,Africa,932
268,2021,Georgia,GEO,72,18915.6534005263,0.342,continent,Asia,931
276,2021,Germany,DEU,5,61939.6515850137,,continent,Europe,933
288,2021,Ghana,GHA,98,6544.2381999688,,continent,Africa,932
300,2021,Greece,GRC,51,33018.2544152866,0.32899999999999996,continent,Europe,933
320,2021,Guatemala,GTM,75,12106.4225430833,,continent,North America,930
324,2021,Guinea,GIN,144,3735.0898272933,,continent,Africa,932
332,2021,Haiti,HTI,117,3114.96354203089,,continent,North America,930
340,2021,Honduras,HND,96,6209.94034964984,,continent,North America,930
344,2021,Hong Kong,HKG,21,65884.9376260603,,continent,Asia,931
348,2021,Hungary,HUN,16,38647.9980847097,0.292,continent,Europe,933
356,2021,India,IND,46,8087.9938026769,0.32799999999999996,continent,Asia,931
360,2021,Indonesia,IDN,65,12897.1031444698,0.355,continent,Asia,931
364,2021,Iran,IRN,69,15042.3741124724,0.355,continent,Asia,931
368,2021,Iraq,IRQ,106,12596.5264858209,,continent,Asia,931
372,2021,Ireland,IRL,14,114120.544516392,0.301,continent,Europe,933
376,2021,Israel,ISR,15,46126.6423137421,0.379,continent,Asia,931
380,2021,Italy,ITA,19,49901.6121367429,0.348,continent,Europe,933
384,2021,Côte d'Ivoire,CIV,126,6520.73116025072,0.353,continent,Africa,932
388,2021,Jamaica,JAM,85,9610.98933709822,0.402,continent,North America,930
392,2021,Japan,JPN,1,44549.3383411434,,continent,Asia,931
398,2021,Kazakhstan,KAZ,95,33893.8954572043,0.292,continent,Asia,931
400,2021,Jordan,JOR,66,9115.01951145213,,continent,Asia,931
404,2021,Kenya,KEN,90,5360.36190289931,0.387,continent,Africa,932
410,2021,South Korea,KOR,4,48571.4322096427,0.32899999999999996,continent,Asia,931
414,2021,Kuwait,KWT,81,49668.9974729809,,continent,Asia,931
417,2021,Kyrgyzstan,KGZ,77,5802.38897216037,0.28800000000000003,continent,Asia,931
418,2021,Laos,LAO,93,8111.05606707263,,continent,Asia,931
422,2021,Lebanon,LBN,55,11860.0586252712,,continent,Asia,931
428,2021,Latvia,LVA,44,36777.8928459839,0.34299999999999997,continent,Europe,933
430,2021,Liberia,LBR,138,1558.74224920002,,continent,Africa,932
434,2021,Libya,LBY,136,18171.5229650604,,continent,Africa,932
440,2021,Lithuania,LTU,31,46410.0676392912,0.36700000000000005,continent,Europe,933
450,2021,Madagascar,MDG,116,1642.30416221094,,continent,Africa,932
454,2021,Malawi,MWI,101,1728.82539847128,,continent,Africa,932
458,2021,Malaysia,MYS,22,30456.0928951741,0.40700000000000003,continent,Asia,931
466,2021,Mali,MLI,113,2399.46153474407,0.35700000000000004,continent,Africa,932
478,2021,Mauritania,MRT,140,5988.20355101133,,continent,Africa,932
480,2021,Mauritius,MUS,67,22737.5729410543,,continent,Africa,932
484,2021,Mexico,MEX,28,21131.9157582539,,continent,North America,930
496,2021,Mongolia,MNG,133,14951.1365679904,,continent,Asia,931
498,2021,Moldova,MDA,70,15682.0703284653,0.257,continent,Europe,933
504,2021,Morocco,MAR,89,8581.330078125,,continent,Africa,932
508,2021,Mozambique,MOZ,130,1440.4596813034,,continent,Africa,932
512,2021,Oman,OMN,88,38930.9938379577,,continent,Asia,931
516,2021,Namibia,NAM,105,10785.0834347808,,continent,Africa,932
524,2021,Nepal,NPL,80,4461.46878467812,,continent,Asia,931
528,2021,Netherlands,NLD,24,67693.3264311302,0.257,continent,Europe,933
554,2021,New Zealand,NZL,57,48194.0410599758,,continent,Oceania,936
558,2021,Nicaragua,NIC,119,6873.73117748359,,continent,North America,930
562,2021,Niger,NER,125,1538.4707469366,0.32899999999999996,continent,Africa,932
566,2021,Nigeria,NGA,142,5623.66407810605,,continent,Africa,932
578,2021,Norway,NOR,40,89209.1397773603,,continent,Europe,933
586,2021,Pakistan,PAK,94,5554.58570149625,,continent,Asia,931
591,2021,Panama,PAN,73,30895.8322499594,0.509,continent,North America,930
598,2021,Papua New Guinea,PNG,131,3992.94122087936,,continent,Oceania,936
600,2021,Paraguay,PRY,92,15361.0847494949,0.429,continent,South America,934
604,2021,Peru,PER,99,15028.6277005836,0.401,continent,South America,934
608,2021,Philippines,PHL,32,8797.16871184371,0.40700000000000003,continent,Asia,931
616,2021,Poland,POL,30,40462.6887122126,0.285,continent,Europe,933
620,2021,Portugal,PRT,42,38783.0115625218,0.34600000000000003,continent,Europe,933
634,2021,Qatar,QAT,84,108865.137778278,,continent,Asia,931
642,2021,Romania,ROU,25,37969.1538938334,0.33899999999999997,continent,Europe,933
643,2021,Russia,RUS,49,38938.49609375,0.35100000000000003,continent,Europe,933
646,2021,Rwanda,RWA,107,2709.45782999207,,continent,Africa,932
682,2021,Saudi Arabia,SAU,35,47754.4314528841,,continent,Asia,931
686,2021,Senegal,SEN,102,4258.78628355107,0.36200000000000004,continent,Africa,932
688,2021,Serbia,SRB,37,22574.2304722328,0.331,continent,Europe,933
702,2021,Singapore,SGP,2,131864.092335522,,continent,Asia,931
703,2021,Slovakia,SVK,20,37790.7874369526,0.24100000000000002,continent,Europe,933
704,2021,Vietnam,VNM,52,12230.2596221026,,continent,Asia,931
