product_code,x,y,cluster_name,target,name
8518,-1.496793491130165,-1.7847219933448102,Electronic and Electrical Goods,8521,Frequency electric amplifiers; electric sound amplifier sets.
8518,-1.496793491130165,-1.7847219933448102,Electronic and Electrical Goods,8527,Frequency electric amplifiers; electric sound amplifier sets.
8518,-1.496793491130165,-1.7847219933448102,Electronic and Electrical Goods,8519,Frequency electric amplifiers; electric sound amplifier sets.
8518,-1.496793491130165,-1.7847219933448102,Electronic and Electrical Goods,8531,Frequency electric amplifiers; electric sound amplifier sets.
8518,-1.496793491130165,-1.7847219933448102,Electronic and Electrical Goods,9006,Frequency electric amplifiers; electric sound amplifier sets.
8535,-1.1651528764671368,-1.1642150318699134,Metalworking and Electrical Machinery and Parts,8536," Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, ..."
8535,-1.1651528764671368,-1.1642150318699134,Metalworking and Electrical Machinery and Parts,8538," Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, ..."
8535,-1.1651528764671368,-1.1642150318699134,Metalworking and Electrical Machinery and Parts,8448," Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, ..."
8535,-1.1651528764671368,-1.1642150318699134,Metalworking and Electrical Machinery and Parts,9028," Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, ..."
8535,-1.1651528764671368,-1.1642150318699134,Metalworking and Electrical Machinery and Parts,8709," Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, ..."
9608,-0.6175620860720574,-1.37621369428079,Textile and Home Goods,9609,"Holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 96.09...."
9608,-0.6175620860720574,-1.37621369428079,Textile and Home Goods,9209,"Holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 96.09...."
9608,-0.6175620860720574,-1.37621369428079,Textile and Home Goods,4012,"Holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 96.09...."
9608,-0.6175620860720574,-1.37621369428079,Textile and Home Goods,9613,"Holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 96.09...."
9608,-0.6175620860720574,-1.37621369428079,Textile and Home Goods,7907,"Holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 96.09...."
1519,0.3527594827435716,0.9301673540527218,Agriculture,1520,nan
1519,0.3527594827435716,0.9301673540527218,Agriculture,3505,nan
1519,0.3527594827435716,0.9301673540527218,Agriculture,1517,nan
1519,0.3527594827435716,0.9301673540527218,Agriculture,2403,nan
1519,0.3527594827435716,0.9301673540527218,Agriculture,2101,nan
6805,-0.6953764260966251,-0.1263050482270047,Textile and Home Goods,8202," Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to s..."
6805,-0.6953764260966251,-0.1263050482270047,Textile and Home Goods,5906," Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to s..."
6805,-0.6953764260966251,-0.1263050482270047,Textile and Home Goods,8480," Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to s..."
6805,-0.6953764260966251,-0.1263050482270047,Textile and Home Goods,7007," Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to s..."
6805,-0.6953764260966251,-0.1263050482270047,Textile and Home Goods,7211," Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to s..."
8202,-1.6389820876377623,-0.1774656399895797,Metalworking and Electrical Machinery and Parts,6805," Hand saws; blades for saws of all kinds (including slitting, slotting or toothless saw blades)."
8202,-1.6389820876377623,-0.1774656399895797,Metalworking and Electrical Machinery and Parts,8424," Hand saws; blades for saws of all kinds (including slitting, slotting or toothless saw blades)."
8202,-1.6389820876377623,-0.1774656399895797,Metalworking and Electrical Machinery and Parts,8467," Hand saws; blades for saws of all kinds (including slitting, slotting or toothless saw blades)."
8202,-1.6389820876377623,-0.1774656399895797,Metalworking and Electrical Machinery and Parts,8603," Hand saws; blades for saws of all kinds (including slitting, slotting or toothless saw blades)."
8202,-1.6389820876377623,-0.1774656399895797,Metalworking and Electrical Machinery and Parts,8412," Hand saws; blades for saws of all kinds (including slitting, slotting or toothless saw blades)."
8607,-0.6144569215848819,0.1914656266704812,Metalworking and Electrical Machinery and Parts,8605,Stock.
8607,-0.6144569215848819,0.1914656266704812,Metalworking and Electrical Machinery and Parts,8482,Stock.
8607,-0.6144569215848819,0.1914656266704812,Metalworking and Electrical Machinery and Parts,8601,Stock.
8607,-0.6144569215848819,0.1914656266704812,Metalworking and Electrical Machinery and Parts,7322,Stock.
8607,-0.6144569215848819,0.1914656266704812,Metalworking and Electrical Machinery and Parts,7008,Stock.
