country_id,year,sitc_eci,hs_eci,growth_proj,sitc_eci_rank,hs_eci_rank,country,ISO3,legacy_location_id,hs_eci_1993,hs_eci_2022,hs_eci_1993_2022
4,2022,-1.1992977,-1.3162157535552979,5.19,129,133,Afghanistan,AFG,1,,,
8,2022,-0.25830767,-0.41410139203071594,2.722,82,85,Albania,ALB,4,,,
12,2022,-0.71833086,-0.7599260807037354,2.415,106,103,Algeria,DZA,66,,,
24,2022,-0.46885175,-0.6449235677719116,5.595,92,95,Angola,AGO,2,,,
31,2022,-1.2644222,-0.9870006442070007,2.983,131,119,Azerbaijan,AZE,16,,,
32,2022,-0.30046633,-0.32018500566482544,1.36,83,81,Argentina,ARG,8,,,
36,2022,-0.6800902,-0.5160481333732605,1.667,102,91,Australia,AUS,14,,,
40,2022,1.7025583,1.6918416023254395,1.88,8,9,Austria,AUT,15,,,
48,2022,0.31873316,0.45895788073539734,2.947,46,45,Bahrain,BHR,24,,,
50,2022,-0.6551144,-0.8267463445663452,3.832,100,108,Bangladesh,BGD,22,,,
51,2022,0.18379122,0.43505632877349854,4.921,54,46,Armenia,ARM,9,,,
56,2022,1.1055132,1.0993013381958008,2.233,25,24,Belgium,BEL,18,,,
68,2022,-1.045954,-1.0357985496520996,2.208,125,122,Bolivia,BOL,31,,,
70,2022,0.8081643,0.5633745193481445,3.997,34,42,Bosnia and Herzegovina,BIH,26,,,
72,2022,-0.87245,-0.997251033782959,2.316,115,120,Botswana,BWA,37,,,
76,2022,-0.04367476,0.06378882378339767,1.743,65,61,Brazil,BRA,32,,,
100,2022,0.7016596,0.7650831937789917,1.603,38,34,Bulgaria,BGR,23,,,
104,2022,-0.9368122,-0.9477241635322571,4.69,118,116,Myanmar,MMR,143,,,
112,2022,0.71532065,0.7000298500061035,3.342,37,36,Belarus,BLR,28,,,
116,2022,-0.21560961,-0.3955359160900116,4.318,77,84,Cambodia,KHM,118,,,
120,2022,-1.3758762,-1.3363094329833984,3.35,133,136,Cameroon,CMR,45,,,
124,2022,0.6396243,0.602461576461792,2.914,41,40,Canada,CAN,39,,,
144,2022,-0.21875101,-0.4483611583709717,4.599,79,87,Sri Lanka,LKA,128,,,
148,2022,-2.4892201,-2.8640589714050293,3.042,145,145,Chad,TCD,214,,,
152,2022,-0.21626835,-0.47758758068084717,2.73,78,88,Chile,CHL,42,,,
156,2022,1.3950942,1.329398274421692,4.999,18,18,China,CHN,43,,,
158,2022,1.9586874,1.9705404043197632,2.166,5,6,Taiwan,TWN,249,,,
170,2022,-0.08590589,0.0682244747877121,2.74,68,60,Colombia,COL,49,,,
178,2022,-2.1804597,-2.291107654571533,2.514,144,144,Republic of the Congo,COG,47,,,
180,2022,-1.8089263,-1.9202123880386353,3.558,141,142,Democratic Republic of the Congo,COD,46,,,
188,2022,0.23769884,0.11353026330471039,2.727,50,56,Costa Rica,CRI,52,,,
191,2022,0.90565515,0.8551835417747498,1.763,31,33,Croatia,HRV,100,,,
