year,country,ISO3,hs_eci_rank
2022,Afghanistan,AFG,133
2022,Albania,ALB,85
2022,Algeria,DZA,103
2022,Angola,AGO,95
2022,Azerbaijan,AZE,119
2022,Argentina,ARG,81
2022,Australia,AUS,91
2022,Austria,AUT,9
2022,Bahrain,BHR,45
2022,Bangladesh,BGD,108
2022,Armenia,ARM,46
2022,Belgium,BEL,24
2022,Bolivia,BOL,122
2022,Bosnia and Herzegovina,BIH,42
2022,Botswana,BWA,120
2022,Brazil,BRA,61
2022,Bulgaria,BGR,34
2022,Myanmar,MMR,116
2022,Belarus,BLR,36
2022,Cambodia,KHM,84
2022,Cameroon,CMR,136
2022,Canada,CAN,40
2022,Sri Lanka,LKA,87
2022,Chad,TCD,145
2022,Chile,CHL,88
2022,China,CHN,18
2022,Taiwan,TWN,6
2022,Colombia,COL,60
2022,Republic of the Congo,COG,144
2022,Democratic Republic of the Congo,COD,142
2022,Costa Rica,CRI,56
2022,Croatia,HRV,33
2022,Cuba,CUB,127
2022,Cyprus,CYP,50
2022,Czechia,CZE,8
2022,Benin,BEN,93
2022,Denmark,DNK,27
2022,Dominican Republic,DOM,64
2022,Ecuador,ECU,117
2022,El Salvador,SLV,67
2022,Equatorial Guinea,GNQ,135
2022,Ethiopia,ETH,118
2022,Estonia,EST,28
2022,Finland,FIN,14
2022,France,FRA,20
2022,Gabon,GAB,130
2022,Georgia,GEO,65
2022,Germany,DEU,5
2022,Ghana,GHA,86
2022,Greece,GRC,53
2022,Guatemala,GTM,77
2022,Guinea,GIN,111
2022,Haiti,HTI,128
2022,Honduras,HND,105
2022,Hong Kong,HKG,22
2022,Hungary,HUN,16
2022,India,IND,44
2022,Indonesia,IDN,70
2022,Iran,IRN,75
2022,Iraq,IRQ,129
2022,Ireland,IRL,11
2022,Israel,ISR,15
2022,Italy,ITA,17
2022,Côte d'Ivoire,CIV,110
2022,Jamaica,JAM,80
2022,Japan,JPN,1
2022,Kazakhstan,KAZ,79
2022,Jordan,JOR,69
2022,Kenya,KEN,90
2022,South Korea,KOR,4
2022,Kuwait,KWT,96
2022,Kyrgyzstan,KGZ,78
2022,Laos,LAO,104
2022,Lebanon,LBN,47
2022,Latvia,LVA,39
2022,Liberia,LBR,132
2022,Libya,LBY,138
2022,Lithuania,LTU,31
2022,Madagascar,MDG,134
2022,Malawi,MWI,107
2022,Malaysia,MYS,21
2022,Mali,MLI,113
2022,Mauritania,MRT,137
2022,Mauritius,MUS,63
2022,Mexico,MEX,29
2022,Mongolia,MNG,139
2022,Moldova,MDA,66
2022,Morocco,MAR,92
2022,Mozambique,MOZ,140
2022,Oman,OMN,82
2022,Namibia,NAM,102
2022,Nepal,NPL,83
2022,Netherlands,NLD,23
2022,New Zealand,NZL,49
2022,Nicaragua,NIC,115
2022,Niger,NER,112
2022,Nigeria,NGA,143
2022,Norway,NOR,48
2022,Pakistan,PAK,89
2022,Panama,PAN,72
2022,Papua New Guinea,PNG,141
2022,Paraguay,PRY,97
2022,Peru,PER,101
2022,Philippines,PHL,32
2022,Poland,POL,30
2022,Portugal,PRT,41
2022,Qatar,QAT,76
2022,Romania,ROU,26
2022,Russia,RUS,68
2022,Rwanda,RWA,100
2022,Saudi Arabia,SAU,38
2022,Senegal,SEN,98
2022,Serbia,SRB,37
2022,Singapore,SGP,3
2022,Slovakia,SVK,19
2022,Vietnam,VNM,52
2022,Slovenia,SVN,12
2022,South Africa,ZAF,62
2022,Zimbabwe,ZWE,126
2022,Spain,ESP,35
2022,Sudan,SDN,131
2022,Eswatini,SWZ,58
2022,Sweden,SWE,10
2022,Switzerland,CHE,2
2022,Tajikistan,TJK,123
2022,Thailand,THA,25
2022,Togo,TGO,121
2022,Trinidad and Tobago,TTO,73
2022,United Arab Emirates,ARE,57
2022,Tunisia,TUN,54
2022,Turkiye,TUR,43
2022,Turkmenistan,TKM,114
2022,Uganda,UGA,106
2022,Ukraine,UKR,51
2022,North Macedonia,MKD,55
2022,Egypt,EGY,74
2022,United Kingdom,GBR,7
2022,Tanzania,TZA,124
2022,United States of America,USA,13
2022,Burkina Faso,BFA,94
2022,Uruguay,URY,59
2022,Uzbekistan,UZB,71
2022,Venezuela,VEN,109
2022,Yemen,YEM,125
2022,Zambia,ZMB,99
