"borough","business","stars","plus_code","address","latitude","longitude"
"",NA,4,"G3QJ+C2","17 Station Parade, Barking IG11 8E",NA,NA
"Day Lewis Pharmacy Broad Str","Day Lewis Pharmacy Broad Street",2.8,"G5P2+3G","151, Broad St, Dagenham RM10 9H",NA,NA
"Thomas Pharmacy & Travel Clinic Yellow Fever Cen","Thomas Pharmacy & Travel Clinic Yellow Fever Centre",4.6,"G3PJ+RC","19 Ripple Rd, Barking IG11 7N",NA,NA
"Day Lewis Pharmacy Bark","Day Lewis Pharmacy Barking",3.2,"G3PV+8M","359 Ripple Rd, Barking IG11 9P",NA,NA
"David Lewis Pharm","David Lewis Pharmacy",NA,"H42J+H2","16 Porters Ave, Dagenham RM8 2A",NA,NA
"Britannia Pharm","Britannia Pharmacy",3,"G3WV+5F","15, Faircross Parade, Upney Ln, Barking IG11 8U",NA,NA
"",NA,3.6,"G3QJ+H7","35 Station Parade, Barking IG11 8E",NA,NA
"Britannia Pharm","Britannia Pharmacy",3.1,"G4H3+6H","Thames View Health Centre, Thames View Estate, Barking IG11 0L",NA,NA
"Sandbern Pharm","Sandbern Pharmacy",3.9,"H46F+V9","705 Green Ln, Dagenham RM8 1U",NA,NA
"Valence Pharm","Valence Pharmacy",4.6,"H45J+H7","453 Becontree Ave, Dagenham RM8 3U",NA,NA
"Asda Dagenham Superst","Asda Dagenham Superstore",3.6,"G4JR+4M","Merrielands Cres, Dagenham RM9 6S",NA,NA
"Britannia Pharm","Britannia Pharmacy",4.3,"H562+F5","420 Wood Ln, Dagenham RM10 7F",NA,NA
"Hedgemans Pharm","Hedgemans Pharmacy",3.9,"G4QH+J8","438 Hedgemans Rd, Dagenham RM9 6B",NA,NA
"Maplestead Pharmacy & Travel Vaccination Cli","Maplestead Pharmacy & Travel Vaccination Clinic",4.9,"G4M6+W8","454 Lodge Ave, Dagenham RM9 4Q",NA,NA
"Mayors Chem","Mayors Chemist",4,"G3MP+MH","214 Ripple Rd, Barking IG11 7P",NA,NA
"ASDA Pharm","ASDA Pharmacy",2.6,"G4JV+22","Merrielands Cres, Dagenham RM9 6S",NA,NA
"David Lewis Pharm","David Lewis Pharmacy",3.8,"H42J+H2","16 Porters Ave, Dagenham RM8 2A",NA,NA
"Britannia Pharm","Britannia Pharmacy",3,"G3QX+HF","Barking Hospital Rd, Upney Ln, Barking IG11 9L",NA,NA
"Alvin Rose Pharm","Alvin Rose Pharmacy",3.2,"H427+HR","606 Longbridge Rd, Dagenham RM8 2A",NA,NA
"LloydsPharm","LloydsPharmacy",2.1,"H43R+QV","281 Wood Ln, Dagenham RM8 3N",NA,NA
"Tesco Pharm","Tesco Pharmacy",3.6,"G3PC+G9","Highbridge Rd, Barking IG11 7B",NA,NA
"Nuchem Pharm","Nuchem Pharmacy",3.8,"H46F+R4","778 Green Ln, Dagenham RM8 1Y",NA,NA
"Britannia Pharm","Britannia Pharmacy",4.4,"G4C5+97","Unit 2, Leslie Hitchcock House, 21 Minter Rd, Barking IG11 0T",NA,NA
"Britannia Pharm","Britannia Pharmacy",3.4,"G4R7+GF","453 Porters Ave, Dagenham RM9 4N",NA,NA
"Hannigan Pharm","Hannigan Pharmacy",4.3,"H43F+7X","240 Bennett's Castle Ln, Dagenham RM8 3U",NA,NA
"Oxlow Pharmacy & Travel Cli","Oxlow Pharmacy & Travel Clinic",4.5,"H523+JC","217 Oxlow Ln, Dagenham RM10 7Y",NA,NA
"Kry-Ba Pharm","Kry-Ba Pharmacy",2.9,"G4JW+VF","21 Goresbrook Rd., Dagenham RM9 6X",NA,NA
"Day Lewis Pharmacy Dagenham, Royal Par","Day Lewis Pharmacy Dagenham, Royal Parade",3.8,"G5Q5+X4","2, Royal Parade, Church St, Dagenham RM10 9X",NA,NA
"Heathway Pharmacy & Travel Clinic(Including Yellow Fever,Hajj and Umrah Vacci","Heathway Pharmacy & Travel Clinic(Including Yellow Fever,Hajj and Umrah Vaccine)",4.6,"G5P2+2H","151, Broad St, Dagenham RM10 9H",NA,NA
"Day Lewis Pharmacy Dagenham, Bead","Day Lewis Pharmacy Dagenham, Beadles",2.6,"G5V8+29","7, Beadles Parade, Rainham Rd S, Dagenham RM10 8Y",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",5,"G3QJ+75","13 Station Parade, Barking IG11 8D",NA,NA
"Talati Pharm","Talati Pharmacy",3.2,"G4VX+36","282 Heathway, Essex, Dagenham RM10 8Q",NA,NA
"Tesco Superst","Tesco Superstore",4.1,"G3PC+G8","Tesco Stores Ltd, Highbridge Rd, Barking IG11 7B",NA,NA
"Specialist Pharm","Specialist Pharmacy",4.7,"G5W9+W9","Londoneast-UK Business & Technical Park, Yew Tree Avenue, Dagenham, London RM10 7F",NA,NA
"Brooks Pharmacy Wood L","Brooks Pharmacy Wood Lane",3,"H43R+QV","281 Wood Ln, Dagenham RM8 3N",NA,NA
"Ghirs Pharm","Ghirs Pharmacy",3.9,"G3M6+FR","426 Barking Rd, London E6 2S",NA,NA
"Ghirs Pharm","Ghirs Pharmacy",3.9,"G3M6+FR","426 Barking Rd, London E6 2S",NA,NA
"Pharmacy Repub","Pharmacy Republic",4.1,"G2JV+FV","138 Barking Rd, London E6 3B",NA,NA
"Andrew B","Andrew Bass",4.4,"H46W+9M","1148 Green Ln, Dagenham RM8 1B",NA,NA
"Waller Pharm","Waller Pharmacy",4.5,"G4RX+V2","279 Heathway, Dagenham RM9 5A",NA,NA
"Goodmayes Pharm","Goodmayes Pharmacy",4,"H479+8C","2, Brooks Parade, Green Ln, Ilford IG3 9R",NA,NA
"Supercare Pharm","Supercare Pharmacy",2.7,"H4CR+Q4","200 High Rd, Romford RM6 6L",NA,NA
"Britannia Pharm","Britannia Pharmacy",3.7,"H4CQ+V7","169 High Rd, Romford RM6 6N",NA,NA
"Woodlands Pharm","Woodlands Pharmacy",3.9,"H32H+XR","119 Hampton Rd, Ilford IG1 1P",NA,NA
"Britannia Pharm","Britannia Pharmacy",2.9,"H36X+8G","416 Green Ln, Seven Kings, Ilford IG3 9J",NA,NA
"Boots Pharm","Boots Pharmacy",3,"G3QH+4V","68 East St, Barking IG11 8E",NA,NA
"Britannia Pharm","Britannia Pharmacy",2.9,"G3WG+CQ","Loxford Polyclinic, 417 Ilford Ln, Ilford IG1 2S",NA,NA
"Britannia Pharm","Britannia Pharmacy",3.6,"H35M+JX","53 Green Ln, Ilford IG1 1X",NA,NA
"Crosstick Pharm","Crosstick Pharmacy",NA,"G4JC+F8","Rippleside Commercial Estate, Gurtek, Barking IG11 0R",NA,NA
"P & S Chem","P & S Chemist",4.1,"Reclamar","111 Ilford Ln, Ilford IG1 2R",NA,NA
"Wellbeing Pharmacy & Travel Cli","Wellbeing Pharmacy & Travel Clinic",4.6,"H4CH+7P","1207 High Rd, Romford RM6 4A",NA,NA
"Munro Pharmacy - East Ham | Photo & Printing Services | Perfumery & Gi","Munro Pharmacy - East Ham | Photo & Printing Services | Perfumery & Gifts",4.2,"G3M3+GC","7 High St N, London E6 1H",NA,NA
"",NA,3.6,"H58G+49","197 Rush Green Rd, Romford RM7 0J",NA,NA
"Well Pharm","Well Pharmacy",2,"H4MP+Q5","107 Rose Ln, Romford RM6 5N",NA,NA
"DP Pharm","DP Pharmacy",3.2,"H34G+J7","84 Albert Rd, Ilford IG1 1H",NA,NA
"",NA,3.9,"H5X7+R6","5 Clockhouse Ln, Romford RM5 3P",NA,NA
"Burdess Pharmacy ","Burdess Pharmacy Ltd",4,"G4QH+H9","438 Hedgemans Rd, Dagenham RM9 6B",NA,NA
"Eden Pharm","Eden Pharmacy",3.6,"H476+85","85 Goodmayes Rd, Ilford IG3 9U",NA,NA
"My Net Doc","My Net Doctor",3.9,"G3PC+V2","160 London Rd, Barking IG11 8B",NA,NA
"Cordeve Dispensing Chem","Cordeve Dispensing Chemist",3,"H4FG+66","70 Chadwell Heath Ln, Romford RM6 4N",NA,NA
"Boots Pharm","Boots Pharmacy",3,"G4RX+HG","17, The Mall, Heathway, Dagenham RM10 8R",NA,NA
"",NA,4,"G3P2+XP","152 High St N, London E6 2H",NA,NA
"Duncans Pharmacy + Travel Clinic + Yellow Fever Cen","Duncans Pharmacy + Travel Clinic + Yellow Fever Centre",3.9,"G2VX+JV","347 High St N, London E12 6P",NA,NA
"Kingsway Chem","Kingsway Chemist",2.3,"G3J2+XM","290 Barking Rd, London E6 3B",NA,NA
"Kingsway Chem","Kingsway Chemist",2.3,"G3J2+XM","290 Barking Rd, London E6 3B",NA,NA
"Blakeberry Pharmacy London - Alphega Pharm","Blakeberry Pharmacy London - Alphega Pharmacy",4.1,"G3J4+M6","9, 11 High St S, London E6 6E",NA,NA
"",NA,4.5,"H4FG+66","70 Chadwell Heath Ln, Romford RM6 4N",NA,NA
"Prime Pharm","Prime Pharmacy",4.1,"G3R2+69","234 High St N, London E12 6S",NA,NA
"Zadams Pharm","Zadams Pharmacy",3.1,"H485+MV","841 High Rd, Ilford IG3 8T",NA,NA
"Brooks Pharm","Brooks Pharmacy",3.5,"H5X7+PH","12 Chase Cross Rd, Romford RM5 3P",NA,NA
"Muhammad's Pharm","Muhammad's Pharmacy",3.9,"H333+36","829 Romford Rd, London E12 6E",NA,NA
"Solanki Pharm","Solanki Pharmacy",4.5,"G3V2+72","324 High St N, London E12 6S",NA,NA
"Catto Chemists: Pharmacy in Manor Park, East Lon","Catto Chemists: Pharmacy in Manor Park, East London",4.6,"G2WX+3R","388 High St N, London E12 6R",NA,NA
"Elm Park Pharm","Elm Park Pharmacy",4.5,"H52X+8M","212 Elm Park Ave, Hornchurch RM12 4S",NA,NA
"Elm Park Pharm","Elm Park Pharmacy",4.5,"H52X+8M","212 Elm Park Ave, Hornchurch RM12 4S",NA,NA
"Tesco Pharm","Tesco Pharmacy",3.3,"H486+GQ","822 High Rd, Romford RM6 4H",NA,NA
"Tesco Pharm","Tesco Pharmacy",3.3,"H486+GQ","822 High Rd, Romford RM6 4H",NA,NA
"MediRush Pharm","MediRush Pharmacy",4.6,"GW6R+MG","Shop No. 116, Railway Arches, Chapman St, London E1 2P",NA,NA
"Church Road Pharm","Church Road Pharmacy",2.3,"G3X3+5H","30 Church Rd, London E12 6A",NA,NA
"Compounding Chem","Compounding Chemist",NA,"G5W9+HQ","Business and Technical Park, HUB 30 LondonEast, Yew Tree Ave, Dagenham RM10 7F",NA,NA
"Goddard Veterinary Group, Bark","Goddard Veterinary Group, Barking",4.7,"G3RP+V3","115A Longbridge Rd, Barking IG11 8T",NA,NA
"Day Lewis Pharmacy Elm P","Day Lewis Pharmacy Elm Park",4.8,"G5XX+9Q","Elm Park, 6 Station Parade, Hornchurch RM12 5A",NA,NA
"Park Lane Pharm","Park Lane Pharmacy",4.6,"H5CR+QJ","1 Park Ln, Hornchurch, Romford RM11 1B",NA,NA
"Newmans Pharmacy , Yellow Fever Centre and Travel Clinic (Greenga","Newmans Pharmacy , Yellow Fever Centre and Travel Clinic (Greengate)",4.6,"G2GH+5F","524, 526 Barking Rd, London E13 8Q",NA,NA
"Pelton Chem","Pelton Chemist",2.9,"H377+28","81 Belgrave Rd, Ilford IG1 3A",NA,NA
"MYDIRECTPHARM","MYDIRECTPHARMACY",4.6,"H36M+M6","Redbridge Enterprise Centre, Thompson Cl, Ilford IG1 1T",NA,NA
"Sapphire Pharm","Sapphire Pharmacy",5,"H5X7+X9","21, 23 Clockhouse Ln, Romford RM5 3P",NA,NA
"Sapphire Pharm","Sapphire Pharmacy",5,"H5X7+X9","21, 23 Clockhouse Ln, Romford RM5 3P",NA,NA
"Burdess ","Burdess W H",3.8,"H5M7+2W","178 Mawney Rd, Romford RM7 8B",NA,NA
"Mim Pharm","Mim Pharmacy",4,"H5JG+HX","118 North St, Romford RM1 1D",NA,NA
"Rohpharm ","Rohpharm Ltd",3.3,"H369+Q6","149 Cranbrook Rd, Cranbrook, Ilford IG1 4P",NA,NA
"Weston Pharmacy - Alphega Pharm","Weston Pharmacy - Alphega Pharmacy",4.4,"G2CC+PC","329 Barking Rd, London E13 8E",NA,NA
"Well-Chem Pharm","Well-Chem Pharmacy",4.1,"H37X+Q6","641 High Rd, Seven Kings, Ilford IG3 8R",NA,NA
"ASDA Pharm","ASDA Pharmacy",3.1,"G385+34","Tollgate Rd, London E6 5J",NA,NA
"Newmans Pharmacy and Travel Clinic ( Abbey Ar","Newmans Pharmacy and Travel Clinic ( Abbey Arms)",4.6,"G2CC+RV","376 Barking Rd, London E13 8H",NA,NA
"Newmans Pharmacy and Travel Clinic ( Abbey Ar","Newmans Pharmacy and Travel Clinic ( Abbey Arms)",4.6,"G2CC+RV","376 Barking Rd, London E13 8H",NA,NA
"Clockwork Pharmacy & Travel Vaccination Cli","Clockwork Pharmacy & Travel Vaccination Clinic",4.5,"G2JP+4W","741 Barking Rd, London E13 9E",NA,NA
"Caremark Barking and Dagen","Caremark Barking and Dagenham",5,"G3PG+MP","Building Suite 201, 16 North St, Genoa, Barking IG11 8A",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",2.2,"H369+3X","50 Cranbrook Rd, Cranbrook, Ilford IG1 4N",NA,NA
"Boots Pharm","Boots Pharmacy",1.8,"H35C+FG","119 High Rd, Ilford IG1 1D",NA,NA
"Plashet Pharm","Plashet Pharmacy",4.1,"G2QR+9V","169 Plashet Grove, London E6 1B",NA,NA
"Goddard Veterinary Group, Dagen","Goddard Veterinary Group, Dagenham",4.2,"H523+FQ","234 Oxlow Ln, Dagenham RM10 7Y",NA,NA
"Fairlop Pharm","Fairlop Pharmacy",3.6,"Amigable","87 High St, Ilford IG6 2A",NA,NA
"Frank Mays Pharm","Frank Mays Pharmacy",4,"G2JQ+4Q","30 Barking Rd, London E6 3B",NA,NA
"Boots Pharm","Boots Pharmacy",3.5,"G38J+QM","Unit 15, Gallions Reach Shopping Park, 3 Armada Wy., London E6 7E",NA,NA
"Boots Pharm","Boots Pharmacy",3,"G3P3+74","84 High St N, London E6 2H",NA,NA
"Bell Medipharm","Bell Medipharmacy",3.3,"H346+36","995 Romford Rd, London E12 5J",NA,NA
