"price","sq_feet","address","latitude","longitude","price_sq_ft"
7083,2312,"38 Commercial Street Spitalfields London",51.5168242,-0.0728281233664091,3.06358131487889
8948,1534,"122 Minories London",51.5121494,-0.0753893,5.83311603650587
3292,1076,"27b Toynbee Street London",51.5174420868569,-0.0743199232804271,3.05947955390335
3750,903,"79 Wentworth Street Spitalfields E1 7TD",51.5170136,-0.0737922777834993,4.15282392026578
5000,893,"18 Mansell Street London",51.5138459,-0.0736953,5.59910414333707
1875,878,"New Goulston Street London",51.5159917183441,-0.0753807695183876,2.13553530751708
2500,800,"24 Wentworth Street London",51.5167790492361,-0.0749112406950663,3.125
1667,415,"83 Middlesex Street London",51.51603725,-0.0765119448865903,4.01686746987952
7083,2312,"38 Commercial Street Spitalfields London",51.5168242,-0.0728281233664091,3.06358131487889
8948,1534,"122 Minories London",51.5121494,-0.0753893,5.83311603650587
3292,1076,"27b Toynbee Street London",51.5174420868569,-0.0743199232804271,3.05947955390335
3750,903,"79 Wentworth Street Spitalfields E1 7TD",51.5170136,-0.0737922777834993,4.15282392026578
5000,893,"18 Mansell Street London",51.5138459,-0.0736953,5.59910414333707
1875,878,"New Goulston Street London",51.5159917183441,-0.0753807695183876,2.13553530751708
2500,800,"24 Wentworth Street London",51.5167790492361,-0.0749112406950663,3.125
1667,415,"83 Middlesex Street London",51.51603725,-0.0765119448865903,4.01686746987952
6250,3885,"4 Sycamore Road Amersham HP6 5DT",51.6771294127418,-0.607182301723111,1.60875160875161
2125,1020,"1 Berners Road Islington London",51.53525905,-0.10511085,2.08333333333333
10879,3305,"89 Charterhouse Street Clerkenwell  Farringdon London",51.5197034381359,-0.101755750510329,3.29167927382753
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
5000,647,"Long Lane London",51.5614629455088,-0.445657946603354,7.72797527047913
4583,409,"Queensway London",51.5104729,-0.1872329,11.2053789731051
NA,NA,NA,NA,NA,NA
6279,2216,"33 Union Street London",51.50348705,-0.0933712558819427,2.83348375451264
5417,2194,"280 Borough High Street London",51.50014445,-0.0957453959005335,2.4690063810392
3750,1677,"Union Street London",51.50394585,-0.094687,2.23613595706619
3333,1230,"48 Queens Road Buckhurst Hill IG9 5BY",51.6252452,0.0439936,2.70975609756098
3042,968,"Queens Road Buckhurst Hill",51.6252787134174,0.044326385011394,3.14256198347107
1583,724,"Queens Road Buckhurst Hill",51.6252787134174,0.044326385011394,2.18646408839779
1583,669,"Queens Road Buckhurst Hill",51.6252787134174,0.044326385011394,2.36621823617339
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
3958,975,"86 Camden High Street London",51.5368697,-0.140503282346248,4.05948717948718
4375,1011,"70a Chalk Farm Road Camden NW1 8AN",51.5430075730332,-0.149406843701731,4.32739861523244
3958,1200,"45 Hatton Garden London",51.5200487,-0.1083706,3.29833333333333
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
3958,1200,"45 Hatton Garden London",51.5200487,-0.1083706,3.29833333333333
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
10417,17546,"4852 High Street Chesham HP5 1EP",51.7048796581542,-0.612804041627933,0.59369656901858
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
4167,952,"1416 Betterton Street London",51.5149638290374,-0.123883886338238,4.37710084033613
NA,NA,NA,NA,NA,NA
6667,4500,"Unit 1A London",51.61203525,-0.457135183470395,1.48155555555556
NA,NA,NA,NA,NA,NA
6333,11400,"The Broadway Loughton",51.649762565217,0.0869841794589818,0.555526315789474
2208,1165,"The Broadway Debden Loughton",51.6470235,0.0824394,1.89527896995708
8333,1990,"23 High Street Ealing London",51.506462,-0.2652222,4.18743718592965
1500,445,"Old Oak Common Lane London",51.5145939713869,-0.249273789889638,3.37078651685393
3125,629,"180 High Street North London",51.53831585,0.0515410499999987,4.96820349761526
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
10879,3305,"89 Charterhouse Street Clerkenwell  Farringdon London",51.5197034381359,-0.101755750510329,3.29167927382753
8240,2472,"28 Britton Street London",51.5217259649353,-0.104178332341352,3.33333333333333
NA,NA,NA,NA,NA,NA
3958,1200,"45 Hatton Garden London",51.5200487,-0.1083706,3.29833333333333
5000,647,"Long Lane London",51.5614629455088,-0.445657946603354,7.72797527047913
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
2917,1298,"397A Eastern Avenue Gants Hill Ilford IG2 6LR",51.5763760622146,0.0674249868910999,2.24730354391371
2917,1298,"Eastern Avenue Ilford London",51.5758822833878,0.0418148636733581,2.24730354391371
2667,900,"North End Road Golders Green London",51.5716597696791,-0.194555862049708,2.96333333333333
NA,NA,NA,NA,NA,NA
27500,5791,"5557 Charlotte Street Fitzrovia London",51.5195068092301,-0.135819930888956,4.74874805733034
12500,3540,"8 Percy Street Fitzrovia W1T 1DJ",51.5181638,-0.133533395377046,3.53107344632768
5833,NA,"3 Tottenham Street London",51.5206241,-0.134767757885907,NA
2708,920,"1214 Whitfield Street Fitzrovia W1T 2RF",51.5194033,-0.133862312789681,2.94347826086957
2500,557,"25 Rathbone Street Fitzrovia W1T 1NQ",51.51816655,-0.135315648210653,4.48833034111311
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
5000,990,"94 Cleveland Street London",51.52264045,-0.141096666756467,5.05050505050505
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
4167,952,"1416 Betterton Street London",51.5149638290374,-0.123883886338238,4.37710084033613
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
2167,860,"14 Glebe Avenue Ickenham Uxbridge UB10 8PB",51.5627544874839,-0.443077498175988,2.51976744186046
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
2917,1127,"26 Kennington Road London",51.4965323931112,-0.111491865400191,2.58828748890861
