"Mode","Station","annual_entry_exit","Station_london","latitude","longitude"
"LU","Acton Town Station",4823835,"Acton Town Station , London",51.5026692,-0.2810695
"LU","Aldgate Station",6897314,"Aldgate Station , London",51.5142477,-0.0757186
"LU","Aldgate East Station",10947896,"Aldgate East Station , London",51.5147412,-0.073103
"LU","Alperton Station",2598605,"Alperton Station , London",51.5408036,-0.3000963
"LU","Amersham Station",1729521,"Amersham Station , London",NA,NA
"LU","Angel Station",12258814,"Angel Station , London",51.5324874,-0.1060356
"LU","Archway Station",7137484,"Archway Station , London",51.5650817,-0.1348295
"LU","Arnos Grove Station",3293586,"Arnos Grove Station , London",51.6166273,-0.133195846655954
"LU","Arsenal Station",2203557,"Arsenal Station , London",51.5583839,-0.1074866
"LU","Baker Street Station",21207073,"Baker Street Station , London",51.5223606,-0.1600283
"LU","Balham LU Station",9828394,"Balham LU Station , London",NA,NA
"LU","Bank and Monument Station",37200346,"Bank and Monument Station , London",51.5106685,-0.0906046
"LU","Barbican Station",5185508,"Barbican Station , London",51.5208745,-0.0973156
"LU","Barking Station",15137045,"Barking Station , London",51.5395762,0.0806292
"LU","Barkingside Station",1167037,"Barkingside Station , London",51.5877633,0.0842699
"LU","Barons Court Station",5240900,"Barons Court Station , London",51.4902,-0.215087
"LU","Battersea Power Station Station",8399835,"Battersea Power Station Station , London",51.4798723,-0.142507437288322
"LU","Bayswater Station",3644937,"Bayswater Station , London",51.512313,-0.187802827293844
"LU","Becontree Station",2899358,"Becontree Station , London",51.5403111,0.1265241
"LU","Belsize Park Station",5022937,"Belsize Park Station , London",51.5505869,-0.1651844
"LU","Bermondsey Station",6802053,"Bermondsey Station , London",51.49784635,-0.0637406721671558
"LU","Bethnal Green LU Station",10176312,"Bethnal Green LU Station , London",NA,NA
"LU","Blackfriars LU Station",9951205,"Blackfriars LU Station , London",NA,NA
"LU","Blackhorse Road Station",8975412,"Blackhorse Road Station , London",51.5865668,-0.0404128
"LU","Bond Street Station",37424555,"Bond Street Station , London",51.5142559,-0.1497856
